availability,avgDailyPrice.amount,avgDailyPrice.currency,completedTrips,hostId,id,isAllStarHost,isFavoritedBySearcher,isNewListing,location.city,location.isDelivery,location.locationId,location.locationSlugs.en_CA,location.state,make,model,rating,seoCategory,tags[0].label,tags[0].type,tags[1].label,tags[1].type,tags[2].label,tags[2].type,type,year
,43.67,USD,97,24134800,1398390,True,False,False,Baldwin Park,False,,baldwin-park-ca,CA,Toyota,Camry,5.0,CAR,,,,,,,CAR,2019
,38.32,USD,77,6630295,2053735,True,False,False,Pico Rivera,False,,pico-rivera-ca,CA,Nissan,Quest,4.9844,MINIVAN,,,,,,,PASSENGER_MINIVAN,2015
,46.8,USD,41,38436376,2531395,True,False,False,Montebello,False,,montebello-ca,CA,Toyota,Camry,5.0,CAR,Unlimited miles,UNLIMITED_MILEAGE,,,,,CAR,2024
,46.33,USD,26,39714904,2772034,True,False,False,Buena Park,False,,buena-park-ca,CA,Mercedes-Benz,CLA-Class,4.8333,CAR,,,,,,,CAR,2021
,36.54,USD,19,44327169,2841081,True,False,False,Monterey Park,False,,monterey-park-ca,CA,Toyota,Camry,5.0,CAR,,,,,,,CAR,2024
,59.67,USD,48,22416943,2584265,True,False,False,Buena Park,False,,buena-park-ca,CA,Dodge,Durango,5.0,SUV,,,,,,,SUV,2021
,34.2,USD,0,19371806,2963244,True,False,False,Buena Park,False,,buena-park-ca,CA,Toyota,Corolla,,CAR,,,,,,,CAR,2018
,39.58,USD,6,15196874,2753923,True,False,False,West Covina,False,,west-covina-ca,CA,Toyota,Prius Prime,5.0,CAR,Unlimited miles,UNLIMITED_MILEAGE,,,,,CAR,2018
,61.12,USD,1,15196874,2969745,True,False,True,West Covina,False,,west-covina-ca,CA,Porsche,Cayenne,5.0,SUV,,,,,,,SUV,2014
,87.72,USD,116,6095601,1403430,True,False,False,Hacienda Heights,False,,hacienda-heights-ca,CA,Ford,Transit,4.9429,VAN,,,,,,,PASSENGER_VAN,2017
